title,time,summary,details,keywords
No coronavirus symptom in China returnee hospitalised in Rangpur: IEDCR,09 February 2020 05:03 PM,"A man hospitalised in Rangpur after recently returning from China, has not exhibited any symptom of the novel coronavirus, according to the Institute of Epidemiology, Disease Control and Research or IEDCR.","Meerjady Sabrina Flora, the director of IEDCR, disclosed the information at a media briefing on Sunday. Tasdid Hossain, 56, was admitted to Rangpur Medical College Hospital's corona unit on Saturday. But he was only suffering from a respiratory problem rather than cold or fever at the time of his admission, said Flora. ""As a result, he was kept under observation and had his samples taken for tests. The results aren't out yet but he is doing better now."" According to some of his relatives, Tasdid suddenly fell ill on Saturday morning and was rushed to the hospital amid concerns over the deadly coronavirus which has killed over 800 people in China so far.","Rangpur, hospitalised, coronavirus, China, returnee"
Migrant worker in Singapore is first Bangladeshi coronavirus patient,10 February 2020 12:37 AM,A Bangladeshi migrant worker is among the 43 coronavirus cases confirmed in Singapore.,"The 39-year-old Bangladeshi work pass holder was warded in an isolation room at the National Centre for Infectious Diseases or NCID, the Singapore Ministry of Health said. His symptoms surfaced on Feb 1, he went to a general practitioner clinic on Feb 3, and Changi General Hospital on Feb 5, according to The Straits Times. He was admitted to the intensive care unit at Changi Hospital after a follow-up appointment at Bedok Polyclinic on Feb 7, the newspaper said. He was confirmed to have the disease on Saturday afternoon, and was then transferred to the NCID. Before being hospitalised, he had visited Mustafa Centre in Little India, and stayed at The Leo dormitory in Kaki Bukit, according to the report. He is the first Bangladeshi to have been diagnosed with the disease that has killed more than 800 people in China surpassing the deaths in the 2002-03 Severe Acute Respiratory Syndrome or SARS. Bangladesh has brought back 312 of its nationals from China’s Wuhan, the heart of the deadly outbreak. The government has also scrapped its plans to evacuate 172 others from the locked down Chinese cities due to the authorities’ failure to arrange any flight amid the coronavirus scare. But none of the Bangladeshis in or from China have tested positive. Over two dozen countries outside China have confirmed a total of 288 coronavirus cases, including the 43 in Singapore, according to the World Health Organization. Around 130,000 Bangladeshis live in the island state, according to estimates. MJH Jabed, the director general for Southeast Asia at the foreign ministry, advised the expatriate Bangladeshis in Singapore to stay alert about coronavirus and contact the Bangladesh high commission there if necessary. He said he had talked to the high commissioner in the evening, but did not have any word on the Bangladeshi coronavirus patient.",Bangladesh
China returnee to be transferred to Dhaka hospital from Rangpur,10 February 2020 03:42 PM,"A China returnee, who was admitted to Rangpur Medical College Hospital, is being referred to Dhaka, according to the Institute of Epidemiology, Disease Control and Research.","Prof Dr Meerjady Sabrina Flora, director of IEDCR, confirmed the matter on Monday. “He has kidney problems. He is being taken to Dhaka as an extra precaution since he has arrived from China.” The 30-year-old Bangladeshi student landed in Dhaka on Sunday morning. The man was admitted to Rangpur hospital after he suffered from ‘shortness of breath and vomiting,’ Debendranath, chief of Rangpur Medical College Hospital medicine division, told bdnews24.com. Efforts are underway to send the student to Dhaka’s Kurmitola General Hospital, said hospital medicine division Assistant Professor Narayan Chandra. Previously, another China returnee was admitted to Rangpur Medical College Hospital. But the patient did not show any symptoms of coronavirus, according to IEDCR.","China returnee, coronavirus, Dhaka hospital, Rangpur"
"15 dead, 62 rescued alive as trawler sinks in Bay of Bengal",11 February 2020 10:13 AM,Bangladesh Navy and Air Force have joined a rescue operation after at least 15 people died and dozens of others went missing when a trawler carrying Rohingya refugees capsized in the Bay of Bengal.,"As many as 71 people were rescued alive after the trawler sank 10 kilometres northwest of St Martin’s Island on Tuesday morning, according to the Bangladesh Coastguard. “Four of the victims are children and the rest are women. We have primarily found out that there were about 138 people on board that trawler,” Lieutenant Commander Nayem ul Haque, chief of the Coastguard’s St Martin’s station, told bdnews24.com. Later, one of the trawlers started to sink after an accident around 5:45am. Fishermen on nearby boats informed the coastguards after witnessing the incident. Members of the Coastguard from three stations subsequently arrived at the spot and began the rescue operations at 7:30am. A Bangladesh Navy ship joined them later. “At least 52 people are still missing and a search is on to find them,” said Coastguard officer Nayem. Two aircraft of Bangladesh Air Force joined the rescue operation afterwards, said Cox's Bazar Additional Superintendent of Police Md Iqbal Hossain. The trawler has been rescued with the efforts of Coastguard and Bangladesh Navy. Coastguard officials believed that the incident took place due to an engine failure. The other trawler was yet to be traced. The authorities suspected that it may have crossed the border with Myanmar by the time of the accident. A total of 46 women and 25 men, who were rescued alive, have received treatment at hospitals on St Martin’s island. One of the rescued people was suspected as a trafficker, according to the police. The survivors will be brought back from St Martin’s island later, he said. Two Bangladeshi and two Rohingya survivors had been detained as suspected traffickers, he added.",Bangladesh
Drug suspect dies in alleged shootout with police in Naogaon,11 February 2020 02:21 PM,A suspected drug dealer has been killed in a so-called shootout with police in Naogaon’s Manda Upazila.,"The dead man has been identified as Aurangzeb Zibu, a resident of Deluabari Bazar area in the upazila. “Aurangzeb was a notorious drug dealer. He was implicated in 10 drug-related cases with various police stations. The Detective Branch of police detained him on Monday,” said Abdul Mannan Mia, superintendent of police in Naogaon. “A DB police team conducted a raid to recover drugs with Aurangzeb in tow around 3am on Tuesday. When police arrived on the Deluabari-Choubaria road near Bakapur Bridge, the accomplices of Aurangzeb opened fire, forcing the law enforcers to retaliate. Aurangzeb received bullet wounds during the exchange of fire.” Three police personnel were also injured in the gunfight and they have been admitted to the Naogaon Sadar Hospital, Mannan said.",Bangladesh
Singapore confirms second Bangladeshi coronavirus patient,12 February 2020 12:59 AM,Singapore has confirmed another Bangladeshi coronavirus case among a total of 47 patients.,"The 39-year-old had worked at Seletar Aerospace Heights, the same location where another Bangladeshi was found to have the virus, The Straits Times reported citing the Ministry of Health on Tuesday. Both did not share the same premises, according to the report. Singapore reported two more coronavirus cases, including the Bangladeshi, on Tuesday. The other new coronavirus patient is a 35-year-old Singaporean permanent resident living in Johor Baru, who works at the Resorts World Sentosa casino, The Straits Times said. Neither of them had travelled to China, where the death toll in the epidemic has crossed 1,000. Seven of the patients still in hospital remain in critical condition and in the intensive care unit, the newspaper said quoting the ministry. Nine others have been released after recovery. The latest Bangladeshi national to have been infected by the virus is a Singapore work permit holder. He reported symptoms on Feb 6, went to the general practitioner the next day, and to the National Centre for Infectious Diseases on Monday. Before being admitted to hospital, he had stayed at his rental apartment in Veerasamy Road. He worked in the same location as 39-year-old Bangladeshi national, who had visited Mustafa Centre in Little India before being hospitalised, and who stayed at The Leo dormitory in Kaki Bukit. The ministry said that it has identified 1,124 close contacts as of noon on Tuesday. Of the 1,021 who are still in Singapore, 989 have been contacted and are being quarantined or isolated. Efforts are ongoing to contact the remaining 32 close contacts. Several clusters of patients believed to have been infected via local transmissions have emerged since the first case of coronavirus in Singapore was confirmed on Jan 23. Malaysia, South Korea and Britain have reported patients who are believed to have contracted the virus at an international business conference at Grand Hyatt Singapore hotel from Jan 20 to 22, attended by more than 100 people. The World Health Organization has said that it is working with health ministries of related countries to investigate the incident. Singapore raised its disease outbreak response level to orange on Feb 7 as the coronavirus spread further within the country, with more new cases of unknown origin found.","Singapore, Coronavirus, Bangladeshi patient, Seletar Aerospace Heights"
Bangladesh woman dies of heart attack on rumours son has coronavirus infection,13 February 2020 01:45 AM,A woman has died in Satkhira of heart attack reportedly after she panicked on rumours that her son has been diagnosed with coronavirus on return from India.,"Renuka Roptan, 56, a resident of Patakhali village under Padmapukur union of Shyamnagar Upazila, died on Tuesday night. Her son Ratan Roptan, 35, had recently gone to India to visit their relatives. The health workers at Bhomra Land Port sent him to the Satkhira General Hospital for tests after finding that he was suffering from fever and cold when he returned on Monday. Ratan returned home after giving blood sample for the tests. Later, the local officials of the Directorate General of Health Services looked for him, Padmapukur Union Council Chairman Ataur Rahman said. The officials also called Ataur to confirm the location of Ratan, he said. Meanwhile, rumours spread in the area that Ratan “will be killed as he is diagnosed with coronavirus”, Ataur said. “His mother Renuka panicked when she heard about them. She died after complaining of chest pain in the night,” the union council chairman added. The woman died of a heart attack after panicking because office the rumours spread by locals, Satkhira Civil Surgeon Husain Shafayat said. Ajoy Saha, the health and family planning officer at the Shyamnagar Upazila Health Complex, said Ratan was taken to the Satkhira General Hospital on suspicion that he had contacted coronavirus, but he had fled. “Later the health directorate searched for him. Meanwhile, his mother died of a heart attack due to the rumours. It’s very unfortunate,” he said. Both Shafayat and Ajoy confirmed that Ratan tested coronavirus negative.","Coronavirus rumours, heart attack, Satkhira"
Bangladesh screening Maitree Express passengers from India amid coronavirus scare,13 February 2020 02:31 AM,The Directorate General of Health Services is screening the passengers of Maitree Express train that runs on Dhaka-Kolkata route in a precautionary move amid a global outbreak of coronavirus.,"The train passengers from India are undergoing screening at Cantonment Railway Station in Dhaka from Tuesday after similar measures have been taken at airports, land ports and maritime ports, said Meerjady Sabrina Flora, the director of the Institute of Epidemiology, Disease Control and Research in a press conference on Wednesday. Though the train crosses Benapole Station, no passenger gets down there. The Maitree Express runs between Dhaka and Kolkata five days a week. The train leaves Dhaka on Tuesday, Wednesday, Friday, Saturday and Sunday. It leaves Kolkata on Monday, Tuesday, Wednesday, Friday and Saturday. The health workers did not find any coronavirus patient among the passengers who have undergone screening on return from China. Two Bangladeshis infected with the virus have been hospitalised in Singapore. One of them came in contact with 19 people who were also quarantined. As many as 10 of them were Bangladeshis, Flora said. The government of Singapore will pay for their treatment bill, she said. The new coronavirus since its outbreak in Wuhan, China has killed more than 1,100 people in the country where the number of total infected people has crossed 45,000. It will take 18 more months to get a vaccine for the new coronavirus officially called COVID-19, Tedros Adhanom, the director general of World Health Organization, said at a press conference in Geneva on Tuesday. Flora also noted that it would take quite some time to get the vaccine. Awareness, personal hygiene and discipline are the best ways to prevent the disease, she said. All the 312 Bangladeshis, who were quarantined at the Ashkona Hajj Camp after evacuation from Wuhan, were doing well, she said. They will be kept there until Feb 15. The procedure to release them from there has not been confirmed.","Maitree Express, Coronavirus screening"
Two more Bangladesh nationals infected with coronavirus in Singapore,13 February 2020 07:57 PM,"Another two Bangladeshi migrant workers in Singapore have been infected with coronavirus, bringing the number of patients from the South Asian nation in the island state to four.","The two new Bangladeshi patients, aged 30 and 37, are linked to a worksite in Seletar Aerospace Heights, The Straits Times reported on Thursday. The worksite is now linked to a cluster of four cases, all of whom are Bangladesh nationals. They are among total 58 coronavirus patients in Singapore, including eight new cases. None of the new cases has recent travel history to China, according to the report. They are all currently warded in isolation rooms at the National Centre for Infectious Diseases, it added. One of the Bangladeshis confirmed to be infected on Thursday fell ill on Feb 7. He reported that he had mostly stayed in his rental apartment in Campbell Lane since he fell sick. The 37-year-old was identified as a close contact of the two previously identified Bangladeshi work pass holders, who both worked at the Seletar Aerospaces Heights worksite. Earlier, the authorities in Bangladesh said the Singapore government would carry the cost of treatment of the coronavirus patients there.","Coronavirus, Singapore, Bangladeshi, Seletar Aerospaces Heights"
Hasina sends condolences to Xi for coronavirus deaths in China,13 February 2020 09:52 PM,"Prime Minister Sheikh Hasina has offered her condolences to Chinese President Xi Jinping for the loss of over 1,350 lives to a coronavirus outbreak.","In a message to Xi on Thursday, she also expressed sympathy for the families of the victims. “It is my firm conviction that the government of China, under your great leadership, will be able to face and stop the aggravation of the situation with utmost capacity and control,” she said. “Establishing a taskforce and building emergency hospitals to address the crisis is timely and praise-worthy,” Hasina added. She also told Xi that her government was ready to extend any help to mitigate the plight of the victims. She thanked the Chinese leadership for taking care of a good number of Bangladeshi citizens living in China “at this tragic moment”. She appreciated that China has become a global model of development under Xi’s “dynamic leadership”. “Your contributions to the international arena, in Asia in particular, are truly appreciable,” Hasina said. She renewed her invitation to the Chinese president to join the inauguration ceremony of Bangabandhu’s birth centenary celebrations on Mar 17.","Sheikh Hasina, Xi Jinping, China-Bangladesh relations, coronavirus, condolences"
Singapore confirms fifth Bangladeshi coronavirus patient from Bombardier construction site,15 February 2020 10:42 PM,Singapore has confirmed that a fifth Bangladeshi migrant worker has been diagnosed with coronavirus taking the number of patients with the disease in the city state to 72.,"Like the previous four cases, the latest Bangladeshi patient was working at the Seletar Aerospace Heights construction site, Singapore’s Ministry of Health said on Saturday. The 26 year-old Bangladesh national, a Singapore Work Pass holder, had no recent travel history to China, according to the ministry. The construction work at the site is for expansion of aerospace manufacturer Bombardier Aviation's facilities, The Straits Times reported. The newspaper said on Feb 12 it “understands that the two workers are not involved in any project relating to the Singapore Airshow or Bombardier's other operations in Singapore”. In response to questions, a spokesman for Boustead Projects, which is overseeing the project at the site, said that both workers are employees of a sub-contractor, The Straits Times reported. Besides quarantining close contacts of the coronavirus patients and screening employees, Boustead Projects has suspended all mass meetings at the company's worksites. ""Since the first confirmed case was reported at our project site, we have carried out thorough disinfection of work areas where the first confirmed case had been to, and are doing so for the work areas where the second confirmed case has been to,"" the newspaper quoted the Boustead Projects spokesman as saying. A spokesman for Bombardier said the company was working closely with local health authorities to ensure that the necessary health protocols are followed, according to the report.","Seletar Aerospace Heights, Bombardier Aviation, Bangladeshi coronavirus patient"
Bangladesh sending Wuhan evacuees home after coronavirus clearance,16 February 2020 02:54 AM,"The Bangladeshi evacuees from Wuhan, the epicentre of a coronavirus epidemic in China, have begun returning home following close surveillance in isolation for two weeks.","They underwent their last health check-up at the Ashkona Hajj Camp in Dhaka on Saturday evening while their relatives gathered outside the facility used for quarantine. The returnees finally began to leave and meet their loved ones around 9:30pm. Many travelled home on cars while the rest took BRTC buses that left after 10pm. “It feels very good to get my son after so many days,” said a man who came from Gazipur’s Tongi to receive a student of a university in Wuhan. A doctor from the capital’s Pallabi said he was happy to see his son healthy. He thanked the government for arranging the evacuation. Abul Kalam Azad, the director general of health services, told bdnews24.com around 10pm that 200 evacuees were returning home in Dhaka and adjacent districts in the night. The others whose homes are far away from Dhaka will leave the following morning, he said. “They will stay in touch to inform us about their health,” Azad said. The government brought back 312 Bangladeshis from Wuhan by a special flight on Feb 1. Its disease control agency IEDCR said no one of the returnees showed any symptoms of coronavirus infection. Besides detailing instructions on how they should spend next few days, the IEDCR also provided them with face masks and sanitizers for use at home.",Bangladesh
Wuhan returnees must be cautious for 10 more days: IEDCR,16 February 2020 04:18 PM,The 312 Bangladeshi evacuees from China's coronavirus-hit city of Wuhan have been advised to excercise extra caution for the next 10 days as they began returning home after close surveillance in isolation for two weeks.,"Meerjady Sabrina Flora, a director at the Institute of Epidemiology, Disease Control and Research or IEDCR, revealed the information at a media briefing on Sunday.""All 312 returnees are in good health. None of them displayed any symptom of the coronavirus infection during the 14-day quarantine. They returned home after being cleared of the disease,"" said Flora.Nevertheless, the returnees will be kept under observation for 10 more days as an added precaution, according to the IEDCR director.""They should avoid big gatherings and try to stay home unless there's an emergency. Even then they should wear masks when they go outside.""The first case of a novel coronavirus was detected in China's Hubei province in December last year. The virus has since spread to over 25 countries, leaving 1,669 people dead.Hundreds of Bangladeshi students and researchers were stranded in Wuhan in the process. The government subsequently brought back 312 of its citizens from the locked down city in a special flight on Feb 1.On their return, eight of the evacuees were sent to two hospitals with fever while the others underwent quarantine at Ashkona Hajj Camp for 14 days, the incubation period for the virus.While staying at the camp, 11 returnees were sent to the Combined Military Hospital due to poor health. However, none of the Wuhan returnees were found to be infected with the coronavirus, said IEDCR.","Coronavirus, returnees, Bangladesh, IEDCR, Wuhan"
Chinese woman is fourth person admitted to Rangpur Corona Unit,16 February 2020 08:08 PM,A Chinese woman has been admitted to the Rangpur Medical College Hospital’s Corona Unit with fever and breathing problems.,"The 29-year-old patient was working at the Uttara Export Processing Zone in Nilphamari. She was admitted to the unit of the hospital’s Isolation Ward on Sunday afternoon, the hospital’s Assistant Director Rostom Ali said. “It is not confirmed yet whether she is infected by the new coronavirus,” he said. The Chinese national joined her workplace in the northern district on arrival in Dhaka’s Shahjalal International Airport on Feb 4. She was cleared by the health workers who were running thermal screening of travellers from China at the airport, Rostom said. But she fell sick on Saturday, he added. The three previous patients at the unit were Bangladeshi returnees from China. Hailing from Dinajpur, Lalmonirhat and Dinajpur, none of them showed coronavirus symptoms, according to the government’s disease control agency IEDCR. One of them was transferred to a hospital in Dhaka. On Saturday, China recorded more than 2,000 new coronavirus patients that took the total number to 68,500 cases of the illness. Out of the 1,665 deaths, 142 were also reported on Saturday.","Rangpur Medical College Hospital, Corona Unit, coronavirus, Chinese woman"
Bangladeshi returnee from Singapore hospitalised without illness amid coronavirus scare,17 February 2020 12:10 AM,The authorities have hospitalised a returnee from Singapore even though he was not ill as fears of coronavirus have increased following infection of five Bangladeshis in the island state.,"The man, a migrant worker from Tangail’s Basail, arrived in Shahjalal International Airport in Dhaka last Thursday. He told the media on Sunday that the health workers at the airport allowed him to leave after finding no symptom of coronavirus in thermal screening. “I meet people when I return home on holidays every year. But this time the problem arose as I did not meet anyone,” he said. His mother said her son did not go outside as he was upset with his wife for some reason. “Residents of our neighbourhood then spread rumours that he is infected with coronavirus,” she said. Workers from Basail Upazila Health Complex came and took him to the facility on Sunday. From there, he was transferred to the Tangail General Hospital and finally to a hospital in Dhaka. The man did not show any symptom like fever or respiratory problems similar to those of coronavirus infection, but the doctors referred him to Dhaka for confirmation, said the Tangail hospital’s Resident Medical Officer Sajeeb Ahmed.","Singapore returnee, Bangladeshi coronavirus patient"
China returnee admitted to Habiganj hospital over coronavirus suspicion,17 February 2020 01:17 PM,A student who recently returned from China has been admitted to a government hospital in Habiganj on suspicion of the novel coronavirus.,"He was sent to the Intensive Care Unit after being admitted to the hospital on Sunday evening, said Habiganj Civil Surgeon Dr Mostafizur Rahman. The boy is a native of Sayestaganj Sadar Upazila. “He will undergo medical tests and blood samples will be sent to Dhaka shortly,” Rahman said, adding that no signs of coronavirus were found on him.",Bangladesh
Chinese ambassador advises against evacuation of 171 Bangladeshis from virus-hit Hubei province,17 February 2020 10:21 PM,"Chinese Ambassador in Dhaka Li Jiming has advised against evacuating 171 Bangladeshi nationals from the locked-down cities in China's Hubei province, the epicentre of a deadly coronavirus.","Speaking to reporters at the National Press Club on Monday, the envoy said, ""There are risks in bringing them back now."" The novel coronavirus has killed over 1,700 people and infected over 70,000 in China so far, causing great angst among the Bangladeshis who are currently stranded in the country. The first cases in December were traced to a seafood market in the Chinese city of Wuhan, the heart of the epidemic from where Bangladesh evacuated 312 citizens and quarantined them in Dhaka on Feb 1. Li Jiming used the example of how a Japanese taxi driver transmitted the virus to those who came in contact with him to explain the risks involved in evacuating the Bangladeshi citizens from China. ""They could fall in harm's way if they take a bus out of Yichang. That's why I recommend not bringing them back."" But after a meeting with the Chinese ambassador on Sunday, Foreign Minister AK Abdul Momen said efforts are underway to arrange a safe passage home for the Bangladeshi citizens. On when they would be back home, Momen said it all depends on China's approval. Addressing the matter on Monday, Li Jiming said China will greenlight their evacuation once the Bangladesh government makes the necessary arrangements for it. ""There are no flights from Hubei at this time. Bangladeshi pilots and crew who flew there are being denied entry to other countries. This is a big complication and we are looking for alternatives. The approval is not an issue; the problem lies with the technical matters.""",Bangladesh
"Bangladesh economy stronger than Singapore’s, says Hasina",19 February 2020 02:37 AM,"Bangladesh sits on a stronger economic position than Singapore does, considering problems such as violent protests and dense population that do not blight the South-East Asian city state, Sheikh Hasina says.","Praising Singapore for its discipline, the prime minister said on Tuesday, “The political and economic conditions have made it easier for them [Singapore government] to achieve development.” But Bangladesh experiences many odds like fire-bombings of buses, killings, and repression, the prime minister said, referring to protests and rule of the BNP and Jamaat-e-Islami. “We are ahead of the countries not only in South Asia, but also those in Southeast Asia. We want to build a Singapore out of Bangladesh, but actually we are economically much stronger than Singapore. This is the least I can claim,” she said. Speaking about concerns over a coronavirus outbreak in China, which has hit global supply chain hard, Hasina said her government has taken measures to import industrial raw materials from other countries. “So I don’t see anything to be scared about,” she said, describing efforts to prevent a possible outbreak in Bangladesh as well, such as screening of incoming travellers. The prime minister said her government was also alert to a possible price hike during upcoming Ramadan. The authorities were stockpiling particular commodities so that they can control the markets by releasing them during the month of fasting, she said. She condemned a recent rise in incidents of rape. The government has a zero-tolerance policy towards rape along with terrorism, militancy and drugs, she said.","Sheikh Hasina, Singapore, Bangladesh, economy, coronavirus, China"
Bangladeshi man infected with coronavirus in Singapore is in ‘critical’ condition: Momen,19 February 2020 01:43 PM,"A Bangladeshi man diagnosed with a novel coronavirus in Singapore is currently in ‘critical condition', Foreign Minister AK Abdul Momen has said.","Speaking to reporters during an event at Dhaka's Intercontinental Hotel on Wednesday, Momen said: “Singapore’s Foreign Minister Vivian Balakrishnan called me in the morning. He told me one of the five Bangladeshis carrying the virus is in very critical condition.""The 39-year old victim has been in a long battle with various health issues, including breathing and kidney complications, according to the minister.The Singaporean health authorities have not disclosed the names of any of the five expatriate Bangladeshis infected with the virus.The Bangladeshi construction worker in question has been in the Intensive Care Unit for the past 13 days but the situation is raising concerns as medicines are not having any effect on the patient, according to Momen.""Foreign Minister Vivian told me that the virus-infected patients were being given the best medical care.""“The medicines haven't been working since yesterday. However, we guarantee you that we will try our best.”But the necessary arrangements will be made to return the migrant's body home should the worst happen, said Momen, citing his Singaporean counterpart. ""We do not know his name and the Singapore authorities have told us they will not disclose his identity to protect his privacy,"" said Abdul in response to a question.",Bangladesh
"Robbers shoot another Bangladeshi shopkeeper dead in South Africa, third victim from Feni in a month",21 February 2020 12:57 AM,Robbers in South Africa have killed another shopkeeper in the third fatal shooting of Bangladeshis from Daganbhuiyan in Feni district.,"The incident occurred in Queenstown around Wednesday midnight Bangladesh time, according to his family. The victim, Md Dulal, 35, hailed from Hirapur village under Matubhuiyan union in Feni's Daganbhuiyan Upazila. Daganbhuiyan Police Station OC Md Aslam Shikder said he heard that robbers had shot a Bangladeshi dead in South Africa. Dulal's wife Bibi Moriom Parul told reporters that their relatives in South Africa informed the family about his killing. The robbers fled with the goods after shooting him when he resisted, Moriom said. He was declared dead at the hospital, she said. Dulal had sold his house in Feni to arrange the money for moving to South Africa in 2008, the wife said. He started his own shop after working at others'. Dulal and Moriom have a son and a daughter. His father Malek Sarder has sought help of the government and the Bangladesh embassy in South Africa to bring back the body. The previous victims from Daganbhuiyan are Abdul Karim Harun of Dheulia village and Md Nurul Huda Chhuttu of Boitharpar village. Both villages are under Purba Chandrapur Model Union while the two victims were 28 years old.","Feni, Daganbhuiyan, South Africa, Bangladeshi shopkeeper, robbery"
Bangladeshi among new cases of coronavirus in UAE,22 February 2020 09:24 AM,"Two more residents of the UAE have tested positive for coronavirus, the UAE Ministry of Health and Prevention said on Friday.","This brings the total number of patients tested positive for COVID19 in the UAE to 11, three of whom have now recovered fully, the Gulf News reports. The two patients are: a 34-year-old resident from Philippines and a 39-year-old from Bangladesh. They were in direct contact with the Chinese patient recently diagnosed with coronavirus and are now in a stable health condition, the ministry said. Neither of the patients was named. The ministry affirmed that all people in direct contact with the coronavirus patients are being checked to ensure the safety of the community and that the disease will not break out in the country. The ministry emphasised that it is taking all necessary and precautionary measures, including investigating, examining and following up on those who were in contact with the patients, in cooperation with health authorities in the country. The ministry urged the public to follow the preventive procedures and to read the virus-awareness instructions, available on its website and the official websites of health authorities in the UAE. “The public are also advised to adopt protective health behaviours to avoid infectious diseases, including washing hands with soap and clean water, and covering the mouth when coughing or sneezing to stop the spread of germs and viruses,” the ministry said.",Bangladesh
Needless panic about coronavirus will cause more trouble: IEDCR,22 February 2020 05:55 PM,"Pointless panic about the novel coronavirus will hinder efforts to prevent the disease, according to the Institute of Epidemiology, Disease Control and Research or IEDCR.","Rumours should not be spread on the issue, IEDCR Director Prof Meerjady Sabrina Flora said at a media briefing on Saturday. Foreign nationals or Bangladesh returnees from abroad are being harassed, she said. “Some overenthusiastic people are creating embarrassing situations. We were informed that house owners are not letting their tenants enter the houses. A Chinese national was not allowed to enter his rented house and had to spend the night in a hotel,” she said. Prof Meerjady Sabrina Flora, the director of IEDCR, briefs the media on Tuesday on the health condition of Bangladeshis evacuated from China amid the new coronavirus outbreak. Photo: Mahmud Zaman Ovi “We have said the China returnees should remain at home. We’ll put the entire country at risk by not allowing them to enter their apartments. Now, if anyone has the symptoms of the disease, they’ll conceal it fearing the social stigma.” In Bangladesh, 77 people were checked for coronavirus infections but none of them tested positive, said the IEDCR director. The conditions of the five Bangladeshi nationals infected with the coronavirus in Singapore remain the same, she said. One of them is in critical condition, but the health authorities still hope for his recovery, she added. “They’re trying their best. We hope everyone will recover and go home.” Another Bangladeshi has been infected with the novel coronavirus in the United Arab Emirates, the health ministry of UAE said. Globally, 77,000 people have been infected with the virus as of Friday while the death toll rose to 2,360.",Bangladesh
"Singapore to donate $10,000 to family of coronavirus-infected Bangladeshi migrant worker",24 February 2020 12:44 PM,"The Migrant Workers' Centre or MWC in Singapore is sending a $10,000 donation via telegraphic bank transfer to the family of a 39-year-old Bangladeshi worker who tested positive for the coronavirus on Feb 8, reports The Straits Times.","The donation comprises contributions from the worker's employer Yi-Ke Innovations, Leo dormitory operator Mini-Environment Services and the MWC. The worker, who was staying at The Leo dormitory in Kaki Bukit, became Singapore's 42nd case of the virus. In a Facebook post on Monday, the MWC said it has been ""a distressing period of time for his family as he is the sole breadwinner"". The centre had contacted his next of kin through his employer soon after he was hospitalised, and has been providing the family with updates on his condition. ""We hope that the timely updates could offer them some comfort and solace during this period of time,"" the MWC added. The $10,000 assistance package is meant to help the worker's family take care of urgent purchases or payments associated with day-to-day expenses or other financial needs, the centre said. The Government will bear the cost of the worker's medical treatment during his stay in hospital. Four other Bangladeshi workers have been infected with the coronavirus. The MWC said it has been receiving offers of donations to help migrant workers who are hospitalised. It assured the public that the workers' welfare is ""being taken care of and they will receive the necessary help and assistance"". ""In the event that their condition takes a turn for the worse, the MWC may decide to hold a public fund-raising,"" it added.","Singapore, Bangladeshi, worker, coronavirus, donation"
