title,time,summary,details
H&M sees no big delays in supply yet due to virus outbreak,28 February 2020 01:38 AM,"H&M, the world's second-biggest fashion retailer, said on Thursday it was still not seeing any major delays in supply due to the coronavirus outbreak.","The Swedish group sources most of its products in China and other Asian countries, such as Bangladesh and Cambodia.Primark owner Associated British Foods warned on Monday there was a risk of shortages of some clothing lines this year if delays in Chinese production were prolonged because of the virus.""We currently don't see that the virus leads to any larger delays with regards to supply,"" an H&M spokeswoman said.H&M does not make clothes itself but buys from a broad network of suppliers which gives it flexibility to purchase more from outside China. However, many Asian garment factories source supplies, such as fabric and yarn, from China.H&M has been gradually reopening its stores in China after closing around a third of them this month due to the outbreak. It said on Thursday that only 135 of 518 now remained closed in its fifth biggest market.Luxury handbag maker Hermes said on Wednesday just four of 43 stores in China remained closed, having closed 15 due to the outbreak. But it said store traffic in China had yet to recover."
"IUB holds seminar, campaigns to raise awareness about coronavirus",28 February 2020 04:38 AM,"The Independent University, Bangladesh or IUB has organised a seminar kicking off a month-long campaign to raise awareness about coronavirus.","The COVID-19 virus has spread worldwide and killed nearly 2,800 people, mostly in the heart of the outbreak in China. No one in Bangladesh has contracted the new virus, but at least six expatriates staying in Singapore and the UAE have tested positive. The authorities have taken measures to prevent a possible outbreak considering that the virus is reaching new countries and regions. The IUB School of Environmental Science and Management or SESM and the School of Life Sciences or SLS co-organised the seminar on the virus in Dhaka on Wednesday, the university said in a statement.Dhaka North Mayor Atiqul Islam, who took oath on Thursday after his recent re-election, was chief guest. He advised the university to introduce internships with the city corporation and assured cooperation to make the city free from coronavirus and mosquito-borne dengue. Professor Shah M Faruque, the dean in-charge of SLS, presented the keynote. He stated that coronavirus has now become “the biggest threat” to humankind as its cure and vaccination have not been discovered yet. Therefore, only the awareness and preventing the deadly disease can save lives, he pointed out.He demonstrated the causes of coronavirus, its symptoms and prevention methodology. Additional Director General of Health Services Sanya Tahmina, IUB Board of Trustees Chairman A Matin Chowdhury, Acting Vice-Chancellor Prof Milan Pagon, and SESM Dean Md Abdul Khaleque also spoke in the programme. Nafisa Huq, the dean in-charge of the IUB School of Public Health, delivered the vote of thanks.Deans, senior members of the faculty and administration and students attended the programme."
"Asia's garment industry sees lay-offs, factories closing due to coronavirus",29 February 2020 12:17 PM,Temporary factory closures and layoffs have already begun to hit low wage workers across Asia as quarantines and travel restrictions from the new coronavirus disrupt supply chains linked to China.,"For 31-year-old Myanmar worker Aye Su Than, the suspension of production at Hunter Myanmar, which produces clothes for an Italian fashion brand, came out of the blue when managers informed its 900 employees almost two weeks ago. ""They said, 'There are no orders, no buyers, because of the virus we are going to shut down,'"" said Aye Su Than, who is five months pregnant and makes about $130 per month. She said she got $320 in compensation from the factory, which declined to comment when contacted. ""We don't know what to do now… It is not easy to apply for a job elsewhere during my pregnancy,"" Aye Su Than said, sitting in a tea shop in Hlaing Tharyar, an industrial district on the outskirts of Yangon. Such bad news is being repeated in many parts of Asia's more than $290 billion textile industry, which accounted for 60% of the world's readymade garments, textiles and footwear in 2015, according to World Trade Organisation statistics. Low-wage workers are particularly vulnerable to any global economic downturn triggered by travel restrictions and quarantines as the coronavirus outbreak spreads from China around the world, roiling supply chains. International brands from Uniqlo to Adidas have wide networks of suppliers and can potentially shift production outside China to fill the potential gap in production from that country - the world's largest apparel and textile manufacturer. Still, sourcing lines in the clothing industry are deeply intertwined and factories in southeast Asia are dependent in turn on China for supplies like cloth, buttons and zippers. Cambodia said this week that 10 factories had already applied to suspend operations and would pay partial wages to about 3,000 workers.  Labourers produce protective masks at the Garment 10 company in Hanoi, Vietnam Feb 5, 2020. REUTERS  In Bangladesh, the world’s second-largest garment manufacturing industry after China, factories are still running but anxiety is growing. ""Nobody knows what will happen ahead but the factory owners are really worried,"" said Mohammed Nasir, a director of the Bangladesh Garment Manufacturers and Exporters Association. DEPENDENCE ON CHINA Readymade garments are a mainstay of Bangladesh's economy, contributing almost 16% of national output and about $34 billion worth of exports in the last fiscal year ending in June 2019. ""Almost 70% of our woven fabrics come from China and naturally if goods do not arrive on time, the readymade garments industry will be affected. If the crisis in China is prolonged, the impact would be severe,"" Nasir said. Bangladesh has about 4,000 garment factories employing some 4 million workers. Neighbouring Myanmar has a smaller industry but is more dependent on China, with the Myanmar Garment Manufacturers Association warning that half of the nation’s 500 factories could shut down by March if the crisis persists. China supplies about 90% of fabrics sent to Myanmar, which so far has not reported any cases of the virus, but the closure of the land border to try to keep infections out has disrupted the supply chain. ""We can still export, but we cannot say what is going to happen in the next one or two months,"" Aung Min, vice-chairman of the manufacturers' association, told Reuters. ""This is kind of scary – the situation is uncertain."" A prolonged crisis could eventually see retailers face a shortage of clothing, although fashion giant H&M Group said it currently doesn’t see the virus causing any larger delays in deliveries. ""We are in close contact with our suppliers in China and evaluating the situation together with them on a daily basis,"" H&M spokeswoman Ulrika Isaksson said, adding that the company was also exploring other options for production. Manufacturers, too, are scrambling to find alternative suppliers of everything from fabric to buttons and zippers. ""It is not easy to shift the sourcing destination overnight. But buyers are currently looking for alternative sources,"" said Siddiqur Rahman, a leading garment exporter. Alternative raw material suppliers are being explored in Thailand, Indonesia, Pakistan and India but then costs will go up, he said. ""Are the buyers ready to pay more? I don't think so. So, it is not that easy. But we’ll have to look beyond China to survive in the long run,"" said Rahman."
Two Bangladeshi nationals recover from coronavirus in Singapore,29 February 2020 04:38 PM,Two Bangladeshi nationals have recovered from bouts with the novel coronavirus in Singapore.,"But the government's disease control agency, IEDCR, advised greater caution while pointing out that the chances of contracting the deadly virus outside China are now greater than ever. Briefing the media on Saturday, IEDCR Director Dr Meerjady Sabrina Flora said, ""It's good news for us that a Bangladeshi who was suffering from the coronavirus infection in Singapore has gone home after making a recovery."" Five Bangladeshis have tested positive for the virus which originated in China's Wuhan before spreading to over 50 countries around the world. One of the Bangladeshi patients, however, remains in critical condition in the South-East Asian country. ""Another Bangladeshi was released from hospital in Singapore the day before. But the man condition of the man who was in a critical state, remains the same,"" said Flora. ""The rest are in stable condition and could be discharged from hospital at any time."" While the number of new cases has gone down in mainland China, excluding the Hubei province, daily infections have surged in Italy, South Korea and Iran, which has become the epicentre of the virus in the Middle East. A Bangladeshi migrant has also been infected with the virus in the United Arab Emirates. Health officials in Bangladesh ran tests on 87 people in the last 24 hours but the country is yet to detect a case of the novel virus, according to Flora. ""We are ready to combat any situation and are continuing the screening measures."""
IEDCR suggests home quarantine for returnees from countries with coronavirus cases,01 March 2020 04:26 PM,"The Institute of Epidemiology, Disease Control and Research has suggested people returning from countries having coronavirus infection cases to quarantine themselves at home even if they do not show any symptom.","The IEDCR made the call in an effort to avoid the spread of Covid-19 infections in Bangladesh as it spread in more than 50 countries. “No case of coronavirus infection has been identified in Bangladesh as of now. If the virus ever enters Bangladesh, it will be through the people travelling in those countries,” IEDCR Director Meerjady Sabrina Flora said at a media briefing in Dhaka on Sunday. “Therefore, the returnees must remain in a home quarantine for some days and should not come out unless it is badly needed,” she said. Bangladesh tested the blood samples of 88 people but did not find any case of infection. The IEDCR nevertheless asked people to remain cautious as the pathogen has spread quickly. “We suggest that those who return home from abroad should use masks for going home from the airport. If possible, they should use private transports. They should keep the windows open,” said Flora. “We earnestly request you to remain at home and avoid crowded areas. Use a mask if you have to go out.” The authorities are prepared to identify any infected person through screening and provide treatment at the airport, according to the IEDCR director. Flora suggested contacting the IEDCR via its hotline in case of anyone coming from abroad with symptoms. The IEDCR called for the Bangladeshi nationals to avoid the countries that reported coronavirus cases. Five Bangladeshi migrant workers were infected with the virus in Singapore: two have been discharged from the hospital and another two will be released soon, Flora said. The fifth is still in intensive care in the city state. Another Bangladeshi national was infected in the United Arab Emirates."
"IEDCR advises against handshakes, hugs as coronavirus spreads further",03 March 2020 05:01 AM,"The government’s disease control agency IEDCR has urged all not to panic over coronavirus, saying  it is possible to reduce the risk of infection by changing habits and hygiene practices.","Meerjady Sabrina Flora, the director of the Institute of Epidemiology, Disease Control and Research asked everyone to be careful about the disease while elaborating the latest condition during a regular media briefing organised at the institute in Dhaka on Monday. “The Health Directorate alone cannot prevent a coronavirus outbreak. Every citizen has responsibility. If we perform our job from our respective positionbthen it will be possible to prevent the spread of the virus,” Flora said. The IEDCR director suggested washing hands with soap regularly and following cough etiquette to keep the virus away. “It will be possible for you to prevent coronavirus and other respiratory diseases if you avoid handshakes, hugs and similar formalities that force you to come within a metre of another person,” she said. LOCAL-LEVEL COMMITTEES FORMED The government has formed committees at the local levels to prevent a possible coronavirus outbreak.   The Ministry of Health and Family Welfare has constituted separate committee chaired by deputy commissioners and Upazila executive officers. They issued the order to inform the officials about the committees on Monday. The committees will implement the directives of a national panel on coronavirus outbreak prevention by taking the necessary steps to raise public awareness. They will also take necessary measures for financial and logistic support along with quarantine facilities if needed, the order said.   Superintendents of police, Upazila council chairmen, municipality mayors, livestock officers, education officers, information officers, relief and rehabilitation officers, deputy directors of the Department of Social Services and civil surgeons will work as members of the district-level committees.The local MPs and district council chairmen will act as advisors.At the Upazila level, the committees will have the OCs of police stations, health and family planning officers, municipality mayors, livestock officers, education officers, secondary education officers, project implementation officers and social services officers as members.The new coronavirus has spread to more than 50 countries from China with nearly 90,000 cases, including 3,000 fatal ones. No person in Bangladesh has been tested positive. At least six Bangladeshis have been infected abroad."
"US announces $37m in coronavirus funds for Bangladesh, 24 other countries",03 March 2020 07:50 PM,"The US government has announced a commitment of $37 million in funds for 25 countries, including Bangladesh, affected by the novel coronavirus or at high risk of its spread.","The US is providing these funds to the World Health Organisation, other multilateral institutions, and programmes led by USAID's implementing partners, according to a statement issued by the US Embassy in Dhaka on Tuesday. These are the first US government funds committed from the pledge of up to $100 million announced by the US Department of State on Feb 7. “Because an infectious-disease threat anywhere can be a threat everywhere, we call on other donors to contribute to the effort to combat COVID-19 as well,” USAID Administrator Mark Green said."
Bangladeshi pilgrims to get refund as Saudi suspends entry for coronavirus,03 March 2020 08:13 PM,"The around 10,000 Bangladeshis who have paid for Umrah visas and tickets will be refunded as Saudi Arabia has suspended entry of pilgrims to prevent coronavirus outbreak.","The Saudi authorities had already started the process to transfer the money, M Shahadat Hossain Taslim, the president of Hajj Agencies Association of Bangladesh or HAAB, told bdnews24.com on Tuesday.    Naser said they received a letter from HAAB that said their ticket money would be refunded in a few days. “We demanded a refund of the rest of the money within 15 working days,” he added."
"Coronavirus: Kuwait restricts entry from Bangladesh, 9 other nations",04 March 2020 08:54 AM,"In a move aimed at controlling the rapid spread of the disease at home, Kuwait’s civil aviation authority said on Tuesday passengers from 10 nations, including Bangladesh, must produce certificates issued by the Kuwaiti embassy in their country saying they are coronavirus free.","In a statement on Twitter, the aviation authority warned that passengers who do not provide the certificates will not be allowed into Kuwait. The procedure will be put in place from March 8, the Gulf News reports. At 56, Kuwait has the largest number of infections in the Middle East outside Iran. The Gulf nation did not report any new cases on Tuesday. Of late, Kuwaiti authorities have instituted a spate of measures aimed at containing the spread of the virus, including quarantines and banning visits to prisons for two weeks.  Civil Aviation:​Medical Examination for Expats Arriving ​​​from Ten Countries to Kuwait pic.twitter.com/FJW9tdmzk9 "
Bangladeshi national in Italy infected with coronavirus,04 March 2020 03:54 PM,"A Bangladeshi national has been infected with the coronavirus in Italy, an official of Institute of Epidemiology, Disease Control and Research said.","The IEDCR did not disclose more details on the Bangladeshi national. “In Bangladesh, 103 people were tested so far but no-one was found to be carrying the virus,” IEDCR Director Meerjady Sabrina Flora said at a regular media briefing on Wednesday. “Four people have been kept in isolation but they were also found negative in the test,” she added. “Bangladesh has suspended the visa on arrival for citizens of Iran, Italy, Japan and South Korea to combat COVID-19. The citizens of other countries have also been asked to make sure that they do not carry the virus into Bangladesh.” The IEDCR urged people to avoid travel abroad, asking all migrant workers in the countries with the coronavirus to avoid non-essential trips."
Bangladeshi doctor urges China to allow her to serve coronavirus patients in Wuhan,05 March 2020 01:17 AM,A Bangladeshi doctor has urged the Chinese government to allow her access to the locked-down Wuhan city so that she can serve coronavirus patients at the epicentre of a global outbreak.,"Syeda Zerin Imam, a doctoral student of Shandong University in China’s Jinan province, who is currently in Bangladesh, had recently handed a letter to the Chinese embassy expressing her intent. An official at the embassy told bdnews24.com on Wednesday that they have not arrived at a decision on Zerin. The embassy released a copy of her letter on Facebook. “[From] the bottom of my heart I want to say that I love China as much as [I love] my own country,” she wrote in the emotional application. “I remember the neighbour who helped me in climbing the sixth floor with forty litres of water bottles. I remember the lady who sold vegetables near my dorm and everyday kept the best lemons for me and her 5 years old daughter with the smile on her face used to run towards me to play every evening.” Zerin recalled, saying she would never forget them. “In this time of difficulties, I just want to say [to] you all that you are not alone for any reason. I will be there for you. “Though I am only a mere human being and have a very little life to have and maybe I am not that much strong but I have the heart and courage to give it all to you and not let you die,” she wrote. Zerin, a dental specialist, took a postgraduate degree on public health from North South University in Dhaka. She had worked in Bangabandhu Sheikh Mujib Medical University and BARDEM Hospital. Her doctoral research is based on a 2017 chikungunya outbreak in Dhaka.  "
Three sailors kept in ‘isolation’ in Mongla for coronavirus screening,05 March 2020 04:53 PM,Three sailors of a ship that reached the Mongla port have been taken into the isolation ward for having body temperature more than the normal range amid the global outbreak of the coronavirus.,"The authorities have stopped the offloading of goods from the Serenitas N, a bulk carrier sailing under the flag of the Marshal Islands, said Mongla Port’s harbour master Fakharuddin Ahmed. The Serenitas N sailed from the Lianyungang port in China to the Mongla port via Chattogram port carrying 24,000 tonnes of coal on Wednesday. A five-member medical team of the port entered the ship for medical check-ups of the sailors, said Samir Asif, a physician in the port hospital. Of the 20 sailors, three Filipinos were found with body temperature crossing the normal range. They were taken into the isolation ward for further medical screening. Though the sailors have high body temperature, they did not show other symptoms common to coronavirus patients, Asif told bdnews24.com. The port authority banned the other sailors from getting off the ship, said Fakharuddin. In Bangladesh, the infection cases can be tested only in the Institute of Epidemiology, Disease Control and Research or IEDCR. “We have been contacting the authority since last night. But the ship is docked quite far away from the port. It is hard to reach there. That’s why it is taking some time. We’ll disseminate the information the moment we receive it,” IEDCR Director Meerjady Sabrina Flora said on Thursday. The Mongla port took precautionary measures following the global outbreak of the coronavirus. The virus has killed at least 3,283 people worldwide, mostly in China, where the epidemic originated in December."
"As India coronavirus cases spike, experts daunted by prospect of South Asia spread",05 March 2020 07:14 PM,India has ramped up the screening of travellers to keep the coronavirus at bay but a flurry of new cases has experts warning that it may be hard to contain a spread in densely populated South Asia with its generally poor medical infrastructure.,"India, Pakistan and Bangladesh are home to some 1.7 billion people, or more than a fifth of the world's population, but their over-stretched health systems could struggle to handle the type of intensive care required for coronavirus patients. On top of that, a prevalence of existing health problems such as diabetes could spell trouble while the sort of sweeping restrictions China has imposed to stifle the virus would be hugely difficult in South Asia's more unruly cities. ""The way Indian society is structured, the kind of lockdown that many countries including China and Japan have instituted, is pretty much impossible even under good circumstances,"" said Vivekanand Jha, executive director of the George Institute for Public Health, in New Delhi. India's total confirmed coronavirus rose to 29 on Wednesday, from six early this week. The coronavirus, which emerged in China late last year, has infected more than 95,000 people globally, and killed more than 3,200, most of them in China. Some health experts fear that even with the recent spike in cases, India's actual tally could be much bigger. ""There is a strong possibility that the number of cases in India is much higher than what has been detected,"" Arunkumar G., director of the Manipal Institute of Virology, said, citing a virus incubation of up to two weeks. Fears were fanned this week when India's health minister disclosed that 16 foreign tourists who have tested positive had been touring since mid-February. Last week, US intelligence sources told Reuters that India's available countermeasures and the potential for the virus to spread its dense population was a focus of serious concern. 'ALL INITIATIVES' India's government says it has screened more than one million travellers, boosted its testing capabilities and set up isolation wards in all major cities with international airports. But 450 million of India's 1.3 billion people are estimated to be migrants, with vast numbers packing its rail and road systems daily meaning controlling any spread would be a huge challenge. India's high number of diabetics - 77 million - and high rates of problems like kidney disease could lead to higher morbidity, or protracted treatment, experts said. ""One particular risk of India is the co-existence of other non-communicable disease epidemics,"" Dr Rajib Dasgupta, who is a professor of community health at the Jawaharlal Nehru University in New Delhi. Prime Minister Narendra Modi's government says it is confident of its ability to arrest the spread of the virus. ""Coronavirus is a challenge, but the government of India has taken all initiatives to ensure that it is stopped,"" said DV Sadananda Gowda, minister of chemicals, who oversees the pharmaceuticals sector. Neighbouring Pakistan has found five coronavirus cases. A top health official was gloomy about the prospects of tackling a major outbreak. ""We don't have human resources, we don't have the required inventory, we don't have a capacity to cope with a big emergency with the given resources,"" Shahid Malik, secretary general of the Pakistan Medical Association, told Reuters. Bangladesh has not confirmed any cases of the coronavirus but five Bangladeshi workers have tested positive in Singapore. Bangladesh's health ministry said more than 300,000 people have been screened at airports and other border entry points. But one passenger was not impressed by what he considered lax screening upon arrival in the capital, Dhaka. ""Many of us could skip the screening. Just imagine what would happen if someone infected with the virus enters. It'll be a total disaster,"" Farid Yamin, a Bangladeshi working in Singapore, told Reuters."
Kuwait-bound Bangladeshi travellers in trouble over coronavirus health clearance,05 March 2020 08:36 PM,Kuwait-bound Bangladeshi travellers are finding themselves in trouble as the Middle-Eastern country has made clearance after coronavirus test mandatory to get visa.,"Uncertainty now looms over the journey of many of the passengers, who have received visa and booked tickets accordingly, due to bureaucratic complexities at Kuwait Embassy in Dhaka and the government’s disease control agency IEDCR, the lone body that conducts coronavirus test in Bangladesh. In a move aimed at controlling the rapid spread of the disease at home, Kuwait’s civil aviation authority said on Tuesday passengers from 10 nations, including Bangladesh, must produce certificates issued by the Kuwaiti embassy in their country saying they are coronavirus-free.    Hundreds of Bangladeshis, mostly migrant workers who returned home on holidays, demonstrated outside the IEDCR at Mohakhali on Thursday against its refusal to test and certify them.    At least 1,000 Bangladeshis travel to Kuwait daily by direct and indirect flights, according to the expatriates. Meerjady Sabrina Flora, the director at the IEDCR, said they had informed the health ministry about the issue.    “But giving certificates to the Kuwait-bound passengers is an administrative matter, not epidemiology. Our duty is to conduct surveillance and detect coronavirus patients. A person showing no symptoms does not need coronavirus test,” she added."
Coronavirus clearance for Bangladeshi passengers to Kuwait from Saturday,06 March 2020 12:10 AM,"Starting from Saturday, the authorities will start giving health clearance for the coronavirus to Bangladeshi passengers bound for Kuwait.","Abdul Kalam Azad, the head of the Directorate General of Health Services, announced the decision after a meeting of a national committee at the Institute of Public Health Nutrition in Dhaka. The travellers will undergo screening at the institute in the capital’s Mohakhali, he said. It was the first meeting of the committee on coordination of efforts to prevent a possible outbreak of COVID-19, an illness caused by the virus. “We will conduct their clinical examination and record their recent history. If they show no symptoms of coronavirus, we will give them the certificate,” Azad said. The travellers will need to show their passports and plane tickets and photocopies of the tickets for the screening, he said. In a move aimed at controlling the rapid spread of the disease at home, Kuwait’s civil aviation authority said on Tuesday passengers from 10 nations, including Bangladesh, must produce certificates issued by the Kuwaiti embassy in their country saying they are coronavirus-free. On Wednesday, the embassy handed all visa applicants a form for coronavirus test, but the IEDCR said it received no instructions on conducting the tests on people who do not show symptoms. Hundreds of Bangladeshis, mostly migrant workers who returned home on holidays, demonstrated outside the IEDCR at Mohakhali on Thursday against its refusal to test and certify them. One of them, Zahangir Hossain, told bdnews24.com he would suffer a loss of at least Tk 40,000 if his ticket is cancelled due to a delay in getting the certificate. At least 1,000 Bangladeshis travel to Kuwait daily by direct and indirect flights, according to the expatriates. Meerjady Sabrina Flora, the director at the IEDCR, said its duty was “to conduct surveillance and detect coronavirus patients”. “A person showing no symptoms does not need coronavirus test,” she added. She later attended the national committee meeting."
Bangladesh exporters panic as downtrend continues amid global coronavirus spread,06 March 2020 01:08 AM,"Bangladesh’s February export earnings have dropped to a little over $3.32 billion by 1.8 percent from the previous year, missing the target by 10.74 percent and spreading panic among businesses over the economic impact of the global coronavirus outbreak.","In July-February period, Bangladesh exported goods worth $26.24 billion, which is nearly 4.8 percent less the same period in the last fiscal year and 13 percent than the target, according to data published by the Export Promotion Bureau on Thursday.“We don’t know what to do. The situation is getting worse by the minute,” said Anwar-Ul-Alam Chowdhury Parvez, a former president of the readymade garment exporters’ body BGMEA. Apparel is the largest exporting sector of the country, contributing over 80 percent to total exports.“We had already been struggling in terms of global competitiveness. Now this coronavirus is destroying everything we have. We are very much panicked. There will be huge effects on exports in March as well,” he said.Parvez noted that the coronavirus has spread to almost everywhere, including Bangladesh’s biggest markets in the US and Europe, while the biggest supplier of raw materials, China, is at the heart of the outbreak.“I see darkness whenever I think about how I will pay the workers during the two next Eid festivals,” Parvez added. Faruque Hassan, a former vice-president of the association, said “We are watching the situation every hour and thinking about how horrible it may become.” “But it’s right we shouldn’t sit idly by. We must tackle the situation with whatever we have,” he added, calling for help from the government through steps like separate taka-dollar transaction rate for RMG sector and instant payment of cash incentives."
Kuwait suspends flights to and from seven countries over coronavirus,07 March 2020 11:55 AM,"Kuwait has suspended all flights to and from seven countries, including Bangladesh, for a week in a bid to prevent the spread of the novel coronavirus in the country.","The other countries on the list are Egypt, Lebanon, Syria, Philippines, India, and Sri Lanka. The measures will take effect immediately, Kuwait's civil aviation directorate announced in a circular issued on Mar 6.Kuwait has also banned entry of anyone who has been in the seven countries in the last two weeks other than returning Kuwaiti nationals, who will have to submit to quarantine procedures, the aviation authority added.The move has forced Biman Bangladesh Airlines to cancel its scheduled flights to the Gulf state on March 6 and 10, the national flag carrier's Managing Director Md Mokabbir Hossain told bdnews24.com."
What is the test for coronavirus and how does it work?,07 March 2020 07:03 PM,"The outbreak of a novel coronavirus (COVID-19), originating in China's Hubei province, has set alarm bells ringing across the world with cases of the infection confirmed in over 50 countries.","Reports on the virus, which has sickened tens of thousands of people and killed more than 3,000 globally, are nearly ubiquitous on social media and news bulletins, triggering widespread panic among ordinary citizens. So what happens if you have a fever, cough and experience breathing difficulties? You might even go to a hospital with symptoms of pneumonia leading doctors to fear that you may have contracted the virus. But how can you know with certainty if you've really been infected with the novel coronavirus? Ideally, you will get yourself tested for the virus for confirmation. But what is the test for the virus and how is it conducted? IEDCR HOTLINE The IEDCR has opened a service for the public to report suspected coronavirus cases. Any person showing symptoms of COVID-19 and suspected to have contracted the coronavirus is requested to call IEDCR hotline numbers: 01927711784,  01927711785,  01937000011,  01937110011 THROAT SWAB Testing for COVID-19 is rather similar to that for the flu. First, a specimen will be collected to check for the virus. Health experts believe the coronavirus replicates in the respiratory tract, causing mild to moderate upper-respiratory tract illnesses, like the common cold. The World Health Organization (WHO) and the US Centres for Disease Control (CDC) therefore recommend deep throat swabs, going through both your mouth and your nose. You may also be asked to cough up sputum, a mixture of saliva and mucus. This procedure is being followed by specialists at the Bangladesh government's disease control agency, the Institute of Epidemiology, Disease Control and Research or IEDCR.    ""We collect a sample of the potential patient's saliva or mucus from the nose. An examination of such a sample reveals if there is a coronavirus infection."" THE SPECIMEN WILL BE SENT TO A QUALIFIED LAB According to a report by CNN, citing the US testing procedure, once a sample has been collected, it must be stored in a sterile tube or vial as is the case with any other medical test. In order to preserve the specimen, it is first chilled before being shipped with an ice pack to a qualified lab with access to a coronavirus test kit. In Bangladesh, only the IEDCR has the facilities to conduct such a test. Laboratories are required to have a minimum biosafety level or BSL of 2 to run tests for Nipah or Influenza virus, said Alamgir. The IEDCR is equipped with both BSL-2 and BSL-3 facilities. ""Only one or two medical colleges in Bangladesh have such labs. But they don't have the capacity to conduct tests for the coronavirus. Even though they have the labs, they don't have an entomologist or a rapid response team,"" said Alamgir. RT-PCR TEST Once samples arrive at the lab, technicians use a procedure called RT-PCR, or reverse transcriptase polymerase chain reaction, to look for the genetic code of the coronavirus using a special reagent.    The test kit is called the “Centers for Disease Control and Prevention (CDC) 2019-Novel Coronavirus (2019-nCoV) Real-Time Reverse Transcriptase (RT)-PCR Diagnostic Panel"". The IEDCR is using test kits provided by the WHO called ""PCR Primary Probe Reagent"", according to Alamgir. A virus, just like any other species, has a unique genetic code called the viral genome. This code, called the viral genome, provides the blueprint for the virus as it replicates and the coronavirus test works by determining whether any given specimen contains the distinct coronavirus genome, according to the CNN report. Lab technicians first extract any genetic information from the throat swabs and sputum samples. The purified genetic material is then mixed with a set of ingredients, including some derived from the coronavirus itself, and the entire solution is placed into a testing machine, the report adds. The virus' genetic material will amplify if a patient's specimen contains the coronavirus and the machine will return a positive result. The IEDCR will send the specimen to the WHO which will then run a test to confirm the result. HOW LONG WILL THE TEST TAKE? According to Alamgir, it takes the IEDCR at least three hours to return a result for the test. ""A number of procedures have to be followed after the sample is brought in. First we have to extract the RNA before running it through the PCR machine. There are a few other steps after that so it takes us about three hours to complete the test."" But the entire process is dependent on receiving a sample. Each RT-PCR test costs more than Tk 5,000 but the government is currently bearing the expenses. ARE THERE ENOUGH TESTING KITS? At present, the IEDCR has about 1,500 test kits with more on the way, according to Alamgir. On whether these will be sufficient if the virus spreads in Bangladesh, he said that it won't be necessary to run tests on every potential patient should such a scenario transpire. ""We have surveillance measures in place throughout the country. So if anyone tests positive for the coronavirus, we will ask hospitals across the land to send the samples of every patient suffering from a cold or breathing trouble."" ""If any of the samples test positive for coronavirus, then we will know that the virus has begun spreading in the country. This is called community transmission.""    WHAT IS THE TREATMENT FOR CORONAVIRUS? Much like the common cold or flu, the coronavirus infection doesn't have any special treatment. Since a vaccine for the virus is yet to be developed, the only way to stay safe is by avoiding close contact with infected people. As there is currently no treatment or cure for the infection, hospitals in the UK are trying to relieve the symptoms while allowing the patient's immune system to fight the virus, according to the BBC. Patients with pneumonia are generally given oxygen and in the worst cases, they may be put on a ventilator. A strong immune system can help fight the virus naturally within a few days. According to the WHO, older persons and persons with pre-existing medical conditions (such as high blood pressure, heart disease, lung disease, cancer or diabetes) appear to develop serious illness more often than others."
Bangladesh may lose as much as $3bn to coronavirus outbreak in worst scenario: ADB,08 March 2020 02:42 AM,"Bangladesh may lose up to $3.021 billion if the ongoing coronavirus outbreak across the globe turns to the worst, the Asian Development Bank says.","The loss will be $8 million in the best scenario and $16 million, or 0.01 percent of the GDP, if it ends moderately, according to a new analysis by the ADB. The spread of the deadly virus will have a significant impact on developing Asian economies through numerous channels leading to sharp declines domestic demand, lower tourism and business travel, trade and production linkages, supply disruptions, and health effects, the Asian lender said on Friday. “The magnitude of the economic losses will depend on how the outbreak evolves, which remains highly uncertain,” it said. The range of scenarios explored in the analysis suggests a global impact in the range of $77 billion to $347 billion, or 0.1 percent to 0.4 percent of GDP. In a moderate scenario, where precautionary behaviours and restrictions such as travel bans start easing three months after the outbreak intensified and restrictions were imposed in late January, global losses could reach $156 billion, or 0.2 percrnt of global GDP, according to the analysis. China would account for $103 billion of those losses—or 0.8 percent of its GDP, the ADB said. The rest of developing Asia would lose $22 billion, or 0.2 percent of its GDP, it added. “There are many uncertainties about COVID-19, including its economic impact,” said ADB Chief Economist Yasuyuki Sawada. “This requires the use of multiple scenarios to provide a clearer picture of potential losses. We hope this analysis can support governments as they prepare clear and decisive responses to mitigate the human and economic impacts of this outbreak.” “ADB stands ready to provide further support to its developing members in their efforts to respond to the adverse impact of COVID-19. ADB will use appropriate means to address the identified needs including through existing and new financial assistance, emergency assistance lending, policy-based lending, private sector investment, and knowledge and technical assistance,” the Manila-based lender said in a statement."
Hasina urges citizens to follow government's directive to prevent coronavirus outbreak,08 March 2020 01:30 PM,Prime Minister Sheikh Hasina has called for calm over a novel coronavirus which is rapidly spreading across the world and urged citizens to follow the government's health directives on the virus to prevent an outbreak in Bangladesh.,She made the call during an event marking International Women’s Day 2020 on Saturday.    Hasina pointed out that the health ministry is issuing directives every day on what to do to prevent catching the virus while stressing the need to follow these. “We have the capacity to address the issue and we can do it if everyone becomes aware of it and follows the directives.” State Minister for Women and Children Affairs Fazilatunnessa Indira presided over the event.
